id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
baiviet_all_chunks_simple_001,Hội thảo online của chương trình tham quan tuyển dụng Goertek Vina diễn ra lúc mấy giờ và vào ngày nào?,simple,easy,Hội thảo online diễn ra lúc 20h00 ngày 12/05/2026.,0fe3aa2d-cda5-4fa5-844a-ba73e3823030,Hội thảo online của chương trình tham quan tuyển dụng Goertek Vina diễn ra vào lúc 20h00 ngày 12/05/2026. Bạn có thể xem chi tiết thông tin [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=48616).,"0fe3aa2d-cda5-4fa5-844a-ba73e3823030,ac83efd7-3854-4b11-bf72-007309dd45f3,a54f5383-ff21-47b8-917d-dca19357acbb,95265f14-adf1-48a6-b3f2-ebd68f57364c,53ba4f6f-e628-4b9e-8bea-5bc519a42e18",rag_v2,rag,5,11401.94,True,good,grounded,complete,Câu trả lời cung cấp chính xác thời gian và ngày diễn ra hội thảo online dựa trên ngữ cảnh được cung cấp.,correct,Câu trả lời đã cung cấp chính xác thời gian và ngày diễn ra hội thảo như trong đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_002,Chương trình tham quan nhà máy và phỏng vấn tuyển dụng của Goertek Vina bắt đầu lúc mấy giờ và ở đâu?,simple,easy,Tham quan bắt đầu lúc 7h00 ngày 15/05/2026 tại Nhà máy Goertek Vina tại Bắc Ninh.,ac83efd7-3854-4b11-bf72-007309dd45f3,"Chương trình tham quan nhà máy và phỏng vấn tuyển dụng của công ty Goertek Vina có thông tin như sau:

*   **Thời gian:** 7h00 ngày 15/05/2026.
*   **Địa điểm:** Nhà máy Goertek Vina tại Bắc Ninh.

Bạn có thể đăng ký tham gia [tại đây](https://forms.cloud.microsoft/Pages/ResponsePage.aspx?id=n7jxBugHT0a0COwbRXA_MS97dnDGWrVLsl6Z_1CFYmBUNTRDTktTOUE5OTNURk9YT09OMzk2WU1aVy4u).","ac83efd7-3854-4b11-bf72-007309dd45f3,0fe3aa2d-cda5-4fa5-844a-ba73e3823030,53ba4f6f-e628-4b9e-8bea-5bc519a42e18,a54f5383-ff21-47b8-917d-dca19357acbb,95265f14-adf1-48a6-b3f2-ebd68f57364c,82921303-6af6-42a8-a257-9978315c71d8,5a27e1fc-30e6-4671-a4c6-a1796c7a3858",rag_v2,rag,7,6889.01,True,good,grounded,complete,Câu trả lời cung cấp chính xác thời gian và địa điểm dựa trên ngữ cảnh được cung cấp.,correct,"Câu trả lời đã cung cấp đầy đủ và chính xác các thông tin về thời gian và địa điểm theo yêu cầu, đồng thời bổ sung thêm đường dẫn đăng ký mà không làm sai lệch thông tin gốc.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_003,Chương trình tham quan tuyển dụng Goertek Vina tuyển tối đa bao nhiêu người?,simple,easy,Chương trình tuyển tối đa 20 người.,95265f14-adf1-48a6-b3f2-ebd68f57364c,"Chương trình tham quan tuyển dụng của công ty Goertek Vina tại Bắc Ninh (diễn ra vào ngày 15/05/2026) tuyển dụng cho vị trí ""Cán bộ nguồn Đôi cánh Goertek 2026"" với số lượng là 20 người.

Bạn có thể xem chi tiết thông tin và đăng ký tham gia [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=48616).","ac83efd7-3854-4b11-bf72-007309dd45f3,95265f14-adf1-48a6-b3f2-ebd68f57364c,53ba4f6f-e628-4b9e-8bea-5bc519a42e18,82921303-6af6-42a8-a257-9978315c71d8,a54f5383-ff21-47b8-917d-dca19357acbb,22ac7873-a3a0-47ac-b591-59009531051a",rag_v2,rag,6,7515.4,True,good,grounded,complete,"Câu trả lời chính xác, dựa trên ngữ cảnh được cung cấp về chương trình tham quan tuyển dụng tại Bắc Ninh, trong đó nêu rõ số lượng tuyển dụng cho vị trí Cán bộ nguồn Đôi cánh Goertek 2026 là 20 người.",correct,Câu trả lời đã cung cấp chính xác thông tin về số lượng tuyển dụng tối đa là 20 người như trong đáp án tham chiếu.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
baiviet_all_chunks_simple_004,Lương thử việc tại Goertek Vina bằng bao nhiêu phần trăm lương chính thức và ước tính khoảng bao nhiêu tiền?,simple,easy,"Lương thử việc bằng 85% lương chính thức, khoảng 9,2 triệu VND, chưa bao gồm tăng ca và các khoản trợ cấp.",95265f14-adf1-48a6-b3f2-ebd68f57364c,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"8c7b778a-a63f-4b15-9fe4-b075e6997ded,c61eccd0-db75-5e96-857e-75d4c2100305,b8e0dd53-c5a0-4aa1-8142-ef58491699da,c648678a-cd06-5e80-8c8e-4cff8505f22d,13188ea5-14f5-536d-8231-68e47ae637ab,d275e767-8661-4a7f-b3e4-332d2f57a681,b584d748-1083-495f-8f68-ea9fbcab9df7",rag_v2,rag,7,15568.27,True,good,grounded,complete,Thông tin về lương thử việc tại Goertek Vina không có trong ngữ cảnh được cung cấp. Trợ lý đã trả lời đúng là không tìm thấy thông tin.,incorrect,"The generated answer fails to provide the requested information, whereas the reference answer provides specific details.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baiviet_all_chunks_simple_005,Goertek Vina được thành lập năm nào và ở đâu tại Việt Nam?,simple,easy,"Goertek Vina được thành lập năm 2019 tại KCN Quế Võ, phường Nam Sơn, TP Bắc Ninh, tỉnh Bắc Ninh.",53ba4f6f-e628-4b9e-8bea-5bc519a42e18,"Công ty TNHH khoa học kỹ thuật Goertek Vina được thành lập năm 2019 tại KCN Quế Võ, phường Nam Sơn, TP Bắc Ninh, tỉnh Bắc Ninh.","53ba4f6f-e628-4b9e-8bea-5bc519a42e18,ac83efd7-3854-4b11-bf72-007309dd45f3,22ac7873-a3a0-47ac-b591-59009531051a",rag_v2,rag,3,17618.51,True,good,grounded,complete,Câu trả lời cung cấp chính xác thông tin về năm thành lập và địa điểm của Goertek Vina dựa trên ngữ cảnh được cung cấp.,correct,"Câu trả lời đã cung cấp đầy đủ thông tin về năm và địa điểm thành lập, đồng thời bổ sung thêm tên đầy đủ của công ty một cách chính xác.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_006,Chế độ nghỉ phép theo giờ tại Goertek Vina là bao nhiêu lần mỗi tháng và mỗi lần mấy tiếng?,simple,easy,"Mỗi tháng nghỉ 2 lần, mỗi lần 2 tiếng và vẫn hưởng lương.",a54f5383-ff21-47b8-917d-dca19357acbb,"Theo chương trình tham quan tuyển dụng của công ty Goertek Vina, chế độ nghỉ phép theo giờ được quy định như sau:

*   Số lần nghỉ: 2 lần/tháng.
*   Thời lượng: 2 giờ/lần.
*   Quyền lợi: Hưởng nguyên lương.

Bạn có thể xem chi tiết thông tin [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=48616).","5a27e1fc-30e6-4671-a4c6-a1796c7a3858,a54f5383-ff21-47b8-917d-dca19357acbb,95265f14-adf1-48a6-b3f2-ebd68f57364c",rag_v2,rag,3,9022.43,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh.",correct,Câu trả lời đã cung cấp đầy đủ và chính xác các thông tin về số lần nghỉ và thời lượng nghỉ mỗi tháng giống như đáp án tham chiếu.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
baiviet_all_chunks_simple_007,Chương trình 'Tuyển dụng cán bộ nguồn 2027' của Goertek Vina nhắm đến sinh viên tốt nghiệp trước thời điểm nào?,simple,easy,Sinh viên tốt nghiệp trước tháng 8 năm 2027.,dca512e6-269b-4ad8-be4c-c8d64cb607b2,"Chương trình ""Tuyển dụng cán bộ nguồn 2027"" của Công ty Goertek Vina nhắm đến sinh viên tốt nghiệp trước tháng 8 năm 2027. Bạn có thể xem chi tiết thông tin [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=47616).","dca512e6-269b-4ad8-be4c-c8d64cb607b2,ac83efd7-3854-4b11-bf72-007309dd45f3,22ac7873-a3a0-47ac-b591-59009531051a,82921303-6af6-42a8-a257-9978315c71d8",rag_v2,rag,4,9586.2,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác thông tin về thời điểm tốt nghiệp theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_008,Hạn nộp báo danh cho chương trình tuyển dụng cán bộ nguồn 2027 của Goertek Vina là khi nào?,simple,easy,Hạn báo danh đến hết ngày 10 tháng 05 năm 2026.,82921303-6af6-42a8-a257-9978315c71d8,"Hạn báo danh cho chương trình ""Tuyển dụng cán bộ nguồn 2027"" của Công ty Goertek Vina là đến hết ngày 10 tháng 05 năm 2026. Bạn có thể xem chi tiết thông tin [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=47616).","82921303-6af6-42a8-a257-9978315c71d8,22ac7873-a3a0-47ac-b591-59009531051a,dca512e6-269b-4ad8-be4c-c8d64cb607b2,ac83efd7-3854-4b11-bf72-007309dd45f3",rag_v2,rag,4,6417.42,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác thông tin về hạn báo danh giống với câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_009,Chương trình đào tạo cán bộ nguồn Goertek Vina kéo dài bao lâu và dự kiến diễn ra từ khi nào đến khi nào?,simple,easy,"Chương trình kéo dài 1 học kỳ tại trung tâm đào tạo Goertek Việt Nam, dự kiến từ tháng 02 đến tháng 06/2027.",22ac7873-a3a0-47ac-b591-59009531051a,"Chương trình đào tạo cán bộ nguồn 2027 của Công ty Goertek Vina có thời gian tham gia là 01 học kỳ tại trung tâm đào tạo công nghệ kỹ thuật Goertek Việt Nam, dự kiến diễn ra từ tháng 02/2027 đến tháng 06/2027.

Bạn có thể xem chi tiết thông tin chương trình [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=47616).","22ac7873-a3a0-47ac-b591-59009531051a,82921303-6af6-42a8-a257-9978315c71d8,dca512e6-269b-4ad8-be4c-c8d64cb607b2,ac83efd7-3854-4b11-bf72-007309dd45f3",rag_v2,rag,4,10702.77,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp đầy đủ và chính xác các thông tin về thời gian đào tạo (1 học kỳ) và khoảng thời gian dự kiến (tháng 02/2027 đến tháng 06/2027) giống với đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_010,Tổng chỉ tiêu đào tạo sĩ quan dự bị năm 2026 tại Đại học Bách khoa Hà Nội là bao nhiêu?,simple,easy,Tổng chỉ tiêu đào tạo sĩ quan dự bị năm 2026 là 08 chỉ tiêu.,4ece021b-66c9-4c9a-919f-6cb4245d0f2b,"Tôi không tìm thấy thông tin về tổng chỉ tiêu đào tạo sĩ quan dự bị năm 2026 trong tài liệu hiện có. Tài liệu chỉ xác nhận việc Đại học Bách khoa Hà Nội thực hiện tuyển chọn nam sinh viên tốt nghiệp đại học đi đào tạo sĩ quan dự bị năm 2026 theo Quyết định số 60/QĐ-BGDĐT ngày 07/4/2026 của Bộ Giáo dục và Đào tạo.

Bạn có thể [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=47615).","4867c8f4-9a82-4d51-9341-47c7bd4e4c77,755a2270-9ade-4083-8695-faef10a68014,a8a28e34-df56-4cde-85f8-dabfa212c436",rag_v2,rag,3,9036.76,True,good,grounded,complete,Ngữ cảnh cung cấp thông báo về việc tuyển chọn nhưng không đề cập đến con số cụ thể về chỉ tiêu. Trợ lý đã trả lời đúng là thông tin không có trong ngữ cảnh và cung cấp nguồn để người dùng tự kiểm tra.,incorrect,"The generated answer fails to provide the specific number of quotas (08) mentioned in the reference answer, claiming it cannot find the information.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
